Auction Number,Price,Bid,Name,Time,Plate
91,"67,100,000 ₮","1,000,000 ₮",Э. Ө***Р,09:01:04,0001 УАР
90,"66,100,000 ₮","1,000,000 ₮",Б. А***Н,09:01:03,0001 УАР
89,"65,100,000 ₮","500,000 ₮",Ц. Б***Х,09:01:00,0001 УАР
88,"64,600,000 ₮","1,000,000 ₮",Б. А***Н,09:01:00,0001 УАР
87,"63,600,000 ₮","1,000,000 ₮",Э. Э***Р,09:01:00,0001 УАР
86,"62,600,000 ₮","1,000,000 ₮",Д. Э***Л,09:00:58,0001 УАР
85,"61,600,000 ₮","1,000,000 ₮",Б. А***Н,09:00:58,0001 УАР
84,"60,600,000 ₮","1,000,000 ₮",Э. Ө***Р,09:00:55,0001 УАР
83,"59,600,000 ₮","1,000,000 ₮",Б. А***Н,09:00:55,0001 УАР
82,"58,600,000 ₮","500,000 ₮",Я. Б***Ж,09:00:55,0001 УАР
81,"58,100,000 ₮","1,000,000 ₮",Б. А***Н,09:00:54,0001 УАР
80,"57,100,000 ₮","500,000 ₮",Ц. Б***Х,09:00:54,0001 УАР
79,"56,600,000 ₮","100,000 ₮",Н. Б***Л,09:00:52,0001 УАР
78,"56,500,000 ₮","1,000,000 ₮",Б. А***Н,09:00:52,0001 УАР
77,"55,500,000 ₮","50,000 ₮",Д. О***Н,09:00:51,0001 УАР
76,"55,450,000 ₮","1,000,000 ₮",Д. Б***Р,09:00:51,0001 УАР
75,"54,450,000 ₮","100,000 ₮",М. А***Р,09:00:50,0001 УАР
74,"54,350,000 ₮","1,000,000 ₮",Б. А***Н,09:00:49,0001 УАР
73,"53,350,000 ₮","50,000 ₮",Д. О***Н,09:00:49,0001 УАР
72,"53,300,000 ₮","1,000,000 ₮",Д. Э***Л,09:00:48,0001 УАР
71,"52,300,000 ₮","1,000,000 ₮",Х. Э***Э,09:00:48,0001 УАР
70,"51,300,000 ₮","50,000 ₮",Г. Д***М,09:00:47,0001 УАР
69,"51,250,000 ₮","1,000,000 ₮",Б. А***Н,09:00:46,0001 УАР
68,"50,250,000 ₮","1,000,000 ₮",Ц. Б***Х,09:00:46,0001 УАР
67,"49,250,000 ₮","1,000,000 ₮",Э. Ц***Х,09:00:45,0001 УАР
66,"48,250,000 ₮","1,000,000 ₮",Э. Э***Р,09:00:45,0001 УАР
65,"47,250,000 ₮","500,000 ₮",Х. Э***Э,09:00:43,0001 УАР
64,"46,750,000 ₮","1,000,000 ₮",Б. А***Н,09:00:41,0001 УАР
63,"45,750,000 ₮","1,000,000 ₮",Э. Ө***Р,09:00:41,0001 УАР
62,"44,750,000 ₮","500,000 ₮",А. М***Р,09:00:39,0001 УАР
61,"44,250,000 ₮","1,000,000 ₮",Т. Т***Х,09:00:39,0001 УАР
60,"43,250,000 ₮","1,000,000 ₮",Ц. Б***Х,09:00:39,0001 УАР
59,"42,250,000 ₮","1,000,000 ₮",Б. А***Н,09:00:38,0001 УАР
58,"41,250,000 ₮","500,000 ₮",А. М***Р,09:00:38,0001 УАР
57,"40,750,000 ₮","1,000,000 ₮",М. Б***Н,09:00:38,0001 УАР
56,"39,750,000 ₮","1,000,000 ₮",Э. Э***Р,09:00:38,0001 УАР
55,"38,750,000 ₮","50,000 ₮",Г. Д***М,09:00:37,0001 УАР
54,"38,700,000 ₮","1,000,000 ₮",Д. Т***Г,09:00:36,0001 УАР
53,"37,700,000 ₮","1,000,000 ₮",Э. Ө***Р,09:00:35,0001 УАР
52,"36,700,000 ₮","1,000,000 ₮",Б. Б***Н,09:00:35,0001 УАР
51,"35,700,000 ₮","1,000,000 ₮",Б. А***Н,09:00:35,0001 УАР
50,"34,700,000 ₮","500,000 ₮",Э. Э***Р,09:00:34,0001 УАР
49,"34,200,000 ₮","1,000,000 ₮",Б. А***Н,09:00:32,0001 УАР
48,"33,200,000 ₮","50,000 ₮",А. М***Х,09:00:31,0001 УАР
47,"33,150,000 ₮","50,000 ₮",Г. Д***М,09:00:31,0001 УАР
46,"33,100,000 ₮","1,000,000 ₮",Э. Ө***Р,09:00:31,0001 УАР
45,"32,100,000 ₮","1,000,000 ₮",Ц. Б***Х,09:00:30,0001 УАР
44,"31,100,000 ₮","1,000,000 ₮",Т. Т***Х,09:00:30,0001 УАР
43,"30,100,000 ₮","100,000 ₮",Д. Б***Р,09:00:28,0001 УАР
42,"30,000,000 ₮","1,000,000 ₮",Б. А***Н,09:00:25,0001 УАР
41,"29,000,000 ₮","1,000,000 ₮",Э. Ө***Р,09:00:24,0001 УАР
40,"28,000,000 ₮","100,000 ₮",М. А***Р,09:00:24,0001 УАР
39,"27,900,000 ₮","1,000,000 ₮",А. М***Р,09:00:24,0001 УАР
38,"26,900,000 ₮","50,000 ₮",Г. Д***М,09:00:23,0001 УАР
37,"26,850,000 ₮","1,000,000 ₮",Б. А***Н,09:00:23,0001 УАР
36,"25,850,000 ₮","50,000 ₮",Н. Т***Л,09:00:23,0001 УАР
35,"25,800,000 ₮","1,000,000 ₮",Ц. Б***Х,09:00:23,0001 УАР
34,"24,800,000 ₮","1,000,000 ₮",Т. Б***А,09:00:22,0001 УАР
33,"23,800,000 ₮","1,000,000 ₮",Б. А***Н,09:00:22,0001 УАР
32,"22,800,000 ₮","100,000 ₮",Х. Э***Э,09:00:21,0001 УАР
31,"22,700,000 ₮","1,000,000 ₮",Б. А***Н,09:00:20,0001 УАР
30,"21,700,000 ₮","50,000 ₮",Д. Т***Г,09:00:20,0001 УАР
29,"21,650,000 ₮","50,000 ₮",А. М***Х,09:00:20,0001 УАР
28,"21,600,000 ₮","1,000,000 ₮",Э. Ө***Р,09:00:20,0001 УАР
27,"20,600,000 ₮","1,000,000 ₮",Б. А***Н,09:00:19,0001 УАР
26,"19,600,000 ₮","1,000,000 ₮",Т. Б***А,09:00:17,0001 УАР
25,"18,600,000 ₮","1,000,000 ₮",Б. А***Н,09:00:17,0001 УАР
24,"17,600,000 ₮","50,000 ₮",Г. Д***М,09:00:16,0001 УАР
23,"17,550,000 ₮","1,000,000 ₮",Б. А***Н,09:00:15,0001 УАР
22,"16,550,000 ₮","50,000 ₮",Ч. А***А,09:00:15,0001 УАР
21,"16,500,000 ₮","1,000,000 ₮",Б. О***Р,09:00:15,0001 УАР
20,"15,500,000 ₮","500,000 ₮",Р. Н***Р,09:00:15,0001 УАР
19,"15,000,000 ₮","1,000,000 ₮",М. А***Р,09:00:15,0001 УАР
18,"14,000,000 ₮","1,000,000 ₮",Б. А***Н,09:00:14,0001 УАР
17,"13,000,000 ₮","1,000,000 ₮",Г. Г***А,09:00:13,0001 УАР
16,"12,000,000 ₮","1,000,000 ₮",Э. Ө***Р,09:00:12,0001 УАР
15,"11,000,000 ₮","1,000,000 ₮",Л. Г***А,09:00:12,0001 УАР
14,"10,000,000 ₮","100,000 ₮",Ж. Б***Ү,09:00:11,0001 УАР
13,"9,900,000 ₮","1,000,000 ₮",Э. Ө***Р,09:00:11,0001 УАР
12,"8,900,000 ₮","1,000,000 ₮",Г. Ц***М,09:00:11,0001 УАР
11,"7,900,000 ₮","1,000,000 ₮",Б. А***Н,09:00:11,0001 УАР
10,"6,900,000 ₮","500,000 ₮",Т. Б***А,09:00:11,0001 УАР
9,"6,400,000 ₮","1,000,000 ₮",Э. Ө***Р,09:00:10,0001 УАР
8,"5,400,000 ₮","300,000 ₮",Р. Н***Р,09:00:10,0001 УАР
7,"5,100,000 ₮","1,000,000 ₮",Э. Ө***Р,09:00:10,0001 УАР
6,"4,100,000 ₮","50,000 ₮",Б. Б***Т,09:00:10,0001 УАР
5,"4,050,000 ₮","1,000,000 ₮",Э. Ө***Р,09:00:10,0001 УАР
4,"3,050,000 ₮","1,000,000 ₮",Б. А***Н,09:00:09,0001 УАР
3,"2,050,000 ₮","1,000,000 ₮",Д. Л***Н,09:00:08,0001 УАР
2,"1,050,000 ₮","50,000 ₮",Ц. Л***Н,09:00:08,0001 УАР
1,"1,000,000 ₮","1,000,000 ₮",Э. Ц***Х,09:00:06,0001 УАР
133,"70,900,000 ₮","50,000 ₮",М. Б***Ж,09:38:17,0011 УАР
132,"70,850,000 ₮","50,000 ₮",Ж. Б***Ү,09:36:41,0011 УАР
131,"70,800,000 ₮","50,000 ₮",М. Б***Ж,09:34:44,0011 УАР
130,"70,750,000 ₮","50,000 ₮",Б. Б***Р,09:32:55,0011 УАР
129,"70,700,000 ₮","50,000 ₮",М. Б***Ж,09:32:22,0011 УАР
128,"70,650,000 ₮","1,000,000 ₮",Б. П***А,09:31:48,0011 УАР
127,"69,650,000 ₮","1,000,000 ₮",С. Л***Л,09:31:41,0011 УАР
126,"68,650,000 ₮","1,000,000 ₮",Б. П***А,09:31:39,0011 УАР
125,"67,650,000 ₮","1,000,000 ₮",С. Л***Л,09:31:28,0011 УАР
124,"66,650,000 ₮","50,000 ₮",М. Б***Ж,09:31:18,0011 УАР
123,"66,600,000 ₮","1,000,000 ₮",Б. Б***Р,09:30:51,0011 УАР
122,"65,600,000 ₮","50,000 ₮",М. Б***Ж,09:30:16,0011 УАР
121,"65,550,000 ₮","1,000,000 ₮",С. У***Р,09:29:17,0011 УАР
120,"64,550,000 ₮","1,000,000 ₮",Б. П***А,09:29:03,0011 УАР
119,"63,550,000 ₮","1,000,000 ₮",С. У***Р,09:29:00,0011 УАР
118,"62,550,000 ₮","50,000 ₮",Б. Д***Л,09:28:59,0011 УАР
117,"62,500,000 ₮","50,000 ₮",Б. П***А,09:28:45,0011 УАР
116,"62,450,000 ₮","50,000 ₮",Х. О***Г,09:28:38,0011 УАР
115,"62,400,000 ₮","1,000,000 ₮",Б. Б***Р,09:26:53,0011 УАР
114,"61,400,000 ₮","100,000 ₮",Т. Э***Р,09:25:55,0011 УАР
113,"61,300,000 ₮","1,000,000 ₮",Б. П***А,09:25:32,0011 УАР
112,"60,300,000 ₮","50,000 ₮",Т. Э***Р,09:25:01,0011 УАР
111,"60,250,000 ₮","1,000,000 ₮",Б. Д***Л,09:24:35,0011 УАР
110,"59,250,000 ₮","1,000,000 ₮",С. Л***Л,09:24:21,0011 УАР
109,"58,250,000 ₮","50,000 ₮",Б. П***А,09:24:18,0011 УАР
108,"58,200,000 ₮","500,000 ₮",С. Л***Л,09:24:13,0011 УАР
107,"57,700,000 ₮","1,000,000 ₮",Б. П***А,09:24:03,0011 УАР
106,"56,700,000 ₮","1,000,000 ₮",С. Л***Л,09:23:58,0011 УАР
105,"55,700,000 ₮","1,000,000 ₮",Б. П***А,09:23:55,0011 УАР
104,"54,700,000 ₮","1,000,000 ₮",М. Б***Ж,09:23:49,0011 УАР
103,"53,700,000 ₮","1,000,000 ₮",С. Л***Л,09:23:48,0011 УАР
102,"52,700,000 ₮","1,000,000 ₮",Б. П***А,09:23:46,0011 УАР
101,"51,700,000 ₮","1,000,000 ₮",С. Л***Л,09:23:45,0011 УАР
100,"50,700,000 ₮","1,000,000 ₮",Б. Д***Л,09:23:41,0011 УАР
99,"49,700,000 ₮","1,000,000 ₮",С. Л***Л,09:23:32,0011 УАР
98,"48,700,000 ₮","50,000 ₮",Ж. Б***Ү,09:23:27,0011 УАР
97,"48,650,000 ₮","50,000 ₮",Х. О***Г,09:23:13,0011 УАР
96,"48,600,000 ₮","50,000 ₮",Б. Б***Р,09:21:47,0011 УАР
95,"48,550,000 ₮","50,000 ₮",М. Б***Ж,09:21:35,0011 УАР
94,"48,500,000 ₮","1,000,000 ₮",С. Л***Л,09:21:34,0011 УАР
93,"47,500,000 ₮","1,000,000 ₮",Б. Б***Р,09:20:16,0011 УАР
92,"46,500,000 ₮","50,000 ₮",Д. Б***Д,09:19:29,0011 УАР
91,"46,450,000 ₮","50,000 ₮",Б. П***А,09:19:21,0011 УАР
