Auction Number,Price,Bid,Name,Time
589,"312,900,000 ₮","1,000,000 ₮",О. Б***Р,09:24:04
588,"311,900,000 ₮","1,000,000 ₮",Х. Ц***А,09:24:04
587,"310,900,000 ₮","1,000,000 ₮",Ж. Э***Д,09:23:58
586,"309,900,000 ₮","1,000,000 ₮",Ж. Б***Ү,09:23:58
585,"308,900,000 ₮","1,000,000 ₮",О. Б***Р,09:23:58
584,"307,900,000 ₮","1,000,000 ₮",Б. О***М,09:23:57
583,"306,900,000 ₮","50,000 ₮",Ч. Б***Т,09:23:55
582,"306,850,000 ₮","50,000 ₮",С. Г***Р,09:23:41
581,"306,800,000 ₮","50,000 ₮",Б. А***К,09:23:37
580,"306,750,000 ₮","50,000 ₮",С. Г***Р,09:23:10
579,"306,700,000 ₮","50,000 ₮",Ч. Б***Т,09:23:04
578,"306,650,000 ₮","500,000 ₮",Л. Б***Д,09:22:52
577,"306,150,000 ₮","300,000 ₮",Т. Б***А,09:22:47
576,"305,850,000 ₮","50,000 ₮",М. Б***Н,09:22:36
575,"305,800,000 ₮","100,000 ₮",Т. Б***А,09:22:31
574,"305,700,000 ₮","50,000 ₮",Ч. Б***Т,09:22:24
573,"305,650,000 ₮","50,000 ₮",С. Г***Р,09:22:13
572,"305,600,000 ₮","50,000 ₮",Т. Б***А,09:22:10
571,"305,550,000 ₮","50,000 ₮",С. Г***Р,09:21:51
570,"305,500,000 ₮","1,000,000 ₮",М. Б***Н,09:21:49
569,"304,500,000 ₮","1,000,000 ₮",Х. Ц***А,09:21:46
568,"303,500,000 ₮","50,000 ₮",С. Г***Р,09:21:33
567,"303,450,000 ₮","50,000 ₮",Д. О***Р,09:21:26
566,"303,400,000 ₮","50,000 ₮",Г. Э***Г,09:21:13
565,"303,350,000 ₮","50,000 ₮",С. Г***Р,09:20:57
564,"303,300,000 ₮","50,000 ₮",Х. Ц***А,09:20:48
563,"303,250,000 ₮","100,000 ₮",Б. Н***Н,09:20:44
562,"303,150,000 ₮","1,000,000 ₮",Б. С***Н,09:20:43
561,"302,150,000 ₮","300,000 ₮",Б. Н***Н,09:20:43
560,"301,850,000 ₮","50,000 ₮",С. Г***Р,09:20:42
559,"301,800,000 ₮","50,000 ₮",Х. Ц***А,09:20:36
558,"301,750,000 ₮","50,000 ₮",С. Г***Р,09:20:31
557,"301,700,000 ₮","100,000 ₮",Х. Ц***А,09:20:20
556,"301,600,000 ₮","50,000 ₮",Б. А***К,09:20:19
555,"301,550,000 ₮","50,000 ₮",Ч. Б***Т,09:20:18
554,"301,500,000 ₮","50,000 ₮",С. Г***Р,09:20:08
553,"301,450,000 ₮","50,000 ₮",Х. Ц***А,09:20:05
552,"301,400,000 ₮","1,000,000 ₮",О. Б***Р,09:20:04
551,"300,400,000 ₮","50,000 ₮",Д. Л***Н,09:20:02
550,"300,350,000 ₮","1,000,000 ₮",С. Г***Р,09:20:01
549,"299,350,000 ₮","50,000 ₮",Х. Ц***А,09:20:00
548,"299,300,000 ₮","1,000,000 ₮",О. Б***Р,09:19:56
547,"298,300,000 ₮","50,000 ₮",Х. Ц***А,09:19:51
546,"298,250,000 ₮","1,000,000 ₮",Ж. Б***Ү,09:19:50
545,"297,250,000 ₮","1,000,000 ₮",О. Б***Р,09:19:49
544,"296,250,000 ₮","50,000 ₮",Х. Ц***А,09:19:45
543,"296,200,000 ₮","1,000,000 ₮",О. Б***Р,09:19:42
542,"295,200,000 ₮","1,000,000 ₮",Ч. Б***Т,09:19:41
541,"294,200,000 ₮","50,000 ₮",Х. Ц***А,09:19:39
540,"294,150,000 ₮","1,000,000 ₮",О. Б***Р,09:19:35
539,"293,150,000 ₮","50,000 ₮",Х. Ц***А,09:19:31
538,"293,100,000 ₮","1,000,000 ₮",О. Б***Р,09:19:30
537,"292,100,000 ₮","1,000,000 ₮",Б. А***К,09:19:29
536,"291,100,000 ₮","50,000 ₮",Ж. Б***Ү,09:19:29
535,"291,050,000 ₮","50,000 ₮",Д. О***Р,09:19:27
534,"291,000,000 ₮","1,000,000 ₮",О. Б***Р,09:19:26
533,"290,000,000 ₮","50,000 ₮",Х. Ц***А,09:19:25
532,"289,950,000 ₮","50,000 ₮",Ч. Б***Т,09:19:22
531,"289,900,000 ₮","1,000,000 ₮",О. Б***Р,09:19:20
530,"288,900,000 ₮","50,000 ₮",Х. Ц***А,09:19:17
529,"288,850,000 ₮","1,000,000 ₮",О. Б***Р,09:19:13
528,"287,850,000 ₮","50,000 ₮",Х. Ц***А,09:19:12
527,"287,800,000 ₮","500,000 ₮",Ё. Х***Р,09:19:09
526,"287,300,000 ₮","1,000,000 ₮",М. Б***Н,09:19:08
525,"286,300,000 ₮","1,000,000 ₮",О. Б***Р,09:19:08
524,"285,300,000 ₮","50,000 ₮",Х. Ц***А,09:19:06
523,"285,250,000 ₮","1,000,000 ₮",О. Б***Р,09:19:05
522,"284,250,000 ₮","1,000,000 ₮",М. Б***Н,09:19:03
521,"283,250,000 ₮","50,000 ₮",Х. Ц***А,09:19:01
520,"283,200,000 ₮","1,000,000 ₮",О. Б***Р,09:18:59
519,"282,200,000 ₮","1,000,000 ₮",М. Б***Н,09:18:58
518,"281,200,000 ₮","1,000,000 ₮",Б. С***Н,09:18:58
517,"280,200,000 ₮","50,000 ₮",Х. Ц***А,09:18:57
516,"280,150,000 ₮","1,000,000 ₮",О. Б***Р,09:18:57
515,"279,150,000 ₮","1,000,000 ₮",Ж. Б***Ү,09:18:55
514,"278,150,000 ₮","1,000,000 ₮",О. Б***Р,09:18:55
513,"277,150,000 ₮","1,000,000 ₮",М. Б***Н,09:18:54
512,"276,150,000 ₮","1,000,000 ₮",О. Б***Р,09:18:53
511,"275,150,000 ₮","50,000 ₮",Х. Ц***А,09:18:51
510,"275,100,000 ₮","50,000 ₮",Д. О***Р,09:18:51
509,"275,050,000 ₮","1,000,000 ₮",О. Б***Р,09:18:49
508,"274,050,000 ₮","1,000,000 ₮",М. Б***Н,09:18:49
507,"273,050,000 ₮","1,000,000 ₮",О. Б***Р,09:18:47
506,"272,050,000 ₮","300,000 ₮",Х. Ц***А,09:18:46
505,"271,750,000 ₮","1,000,000 ₮",М. Б***Н,09:18:45
504,"270,750,000 ₮","1,000,000 ₮",О. Б***Р,09:18:36
503,"269,750,000 ₮","300,000 ₮",Х. Ц***А,09:18:35
502,"269,450,000 ₮","1,000,000 ₮",О. Б***Р,09:18:33
501,"268,450,000 ₮","1,000,000 ₮",М. Б***Н,09:18:32
500,"267,450,000 ₮","1,000,000 ₮",О. Б***Р,09:18:31
499,"266,450,000 ₮","50,000 ₮",Х. Ц***А,09:18:28
498,"266,400,000 ₮","1,000,000 ₮",О. Б***Р,09:18:27
497,"265,400,000 ₮","1,000,000 ₮",М. Б***Н,09:18:24
496,"264,400,000 ₮","50,000 ₮",Х. Ц***А,09:18:23
