date,product,market,size,price
2019-01-02,"Carrot, Mongolian",Khuchit Shonkhor,kg,900.0
2019-01-02,"Carrot, Mongolian",Max/M Mart,kg,1199.0
2019-01-02,"Carrot, Mongolian",Mercury/Ikh Nayad,kg,1200.0
2019-01-02,"Carrot, Mongolian",Nomin,kg,1249.0
2019-01-02,"Carrot, Mongolian",Orgil,kg,1299.0
2019-01-02,"Carrot, Mongolian",Sansar,kg,999.0
2019-01-02,"Carrot, Mongolian",Saruul,kg,
2019-01-02,"Carrot, Mongolian",Tavan Erdene,kg,1000.0
2019-01-02,"Egg, Russian",Bars,each,280.0
2019-01-02,"Egg, Russian",Bayanzurkh,each,280.0
2019-01-02,"Egg, Russian",Bumbugur,each,280.0
2019-01-02,"Egg, Russian",Emart,each,400.0
2019-01-02,"Egg, Russian",Kharkhorin,each,300.0
2019-01-02,"Egg, Russian",Khuchit Shonkhor,each,280.0
2019-01-02,"Egg, Russian",Max/M Mart,each,375.0
2019-01-02,"Egg, Russian",Mercury/Ikh Nayad,each,350.0
2019-01-02,"Egg, Russian",Nomin,each,390.0
2019-01-02,"Egg, Russian",Orgil,each,380.0
2019-01-02,"Egg, Russian",Sansar,each,340.0
2019-01-02,"Egg, Russian",Saruul,each,
2019-01-02,"Egg, Russian",Tavan Erdene,each,310.0
2019-01-02,Goat Meat w/Bones,Bars,kg,
2019-01-02,Goat Meat w/Bones,Bayanzurkh,kg,
2019-01-02,Goat Meat w/Bones,Bumbugur,kg,
2019-01-02,Goat Meat w/Bones,Emart,kg,
2019-01-02,Goat Meat w/Bones,Kharkhorin,kg,5500.0
2019-01-02,Goat Meat w/Bones,Khuchit Shonkhor,kg,5800.0
2019-01-02,Goat Meat w/Bones,Max/M Mart,kg,
2019-01-02,Goat Meat w/Bones,Mercury/Ikh Nayad,kg,
2019-01-02,Goat Meat w/Bones,Nomin,kg,
2019-01-02,Goat Meat w/Bones,Orgil,kg,
2019-01-02,Goat Meat w/Bones,Sansar,kg,
2019-01-02,Goat Meat w/Bones,Saruul,kg,
2019-01-02,Goat Meat w/Bones,Tavan Erdene,kg,
2019-01-02,"Gree Tea, Georgia",Bars,kg,1500.0
2019-01-02,"Gree Tea, Georgia",Bayanzurkh,kg,1500.0
2019-01-02,"Gree Tea, Georgia",Bumbugur,kg,1500.0
2019-01-02,"Gree Tea, Georgia",Emart,kg,1520.0
2019-01-02,"Gree Tea, Georgia",Kharkhorin,kg,1500.0
2019-01-02,"Gree Tea, Georgia",Khuchit Shonkhor,kg,1500.0
2019-01-02,"Gree Tea, Georgia",Max/M Mart,kg,1540.0
2019-01-02,"Gree Tea, Georgia",Mercury/Ikh Nayad,kg,
2019-01-02,"Gree Tea, Georgia",Nomin,kg,1599.0
2019-01-02,"Gree Tea, Georgia",Orgil,kg,1530.0
