"Засаг захиргааны нэгж","Гэмт хэргийн ангилал","2018","2019"
"Цэцэрлэг","Залилах","","1"
"Цэцэрлэг","Хүрээлэн байгаа орчны эсрэг","6","2"
"Цэцэрлэг","ХАБТХАЖ-ын эсрэг гэмт хэрэг","","1"
"Цэцэрлэг","Авлигын эсрэг","","4"
"Чандмань-Өндөр","Улсын дүн","10","2"
"Чандмань-Өндөр","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","3","1"
"Чандмань-Өндөр","Өмчлөх эрхийн эсрэг","1","1"
"Чандмань-Өндөр","Мал хулгайлах","","1"
"Чандмань-Өндөр","Залилах","1",""
"Чандмань-Өндөр","Хүрээлэн байгаа орчны эсрэг","5",""
"Чандмань-Өндөр","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","1",""
"Шинэ-Идэр","Улсын дүн","9","10"
"Шинэ-Идэр","Хүний амьд явах эрхийн эсрэг","","2"
"Шинэ-Идэр","Хүнийг  санаатай алах","","1"
"Шинэ-Идэр","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","1","2"
"Шинэ-Идэр","Өмчлөх эрхийн эсрэг","6","6"
"Шинэ-Идэр","Хулгайлах","4","2"
"Шинэ-Идэр","Мал хулгайлах","2","3"
"Шинэ-Идэр","Хүрээлэн байгаа орчны эсрэг","2",""
"Эрдэнэбулган","Улсын дүн","8","8"
"Эрдэнэбулган","Хүний амьд явах эрхийн эсрэг","1","2"
"Эрдэнэбулган","Хүнийг  санаатай алах","","0"
"Эрдэнэбулган","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","1",""
"Эрдэнэбулган","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","5","1"
"Эрдэнэбулган","Өмчлөх эрхийн эсрэг","1","6"
"Эрдэнэбулган","Хулгайлах","","1"
"Эрдэнэбулган","Залилах","1","5"
"Эрдэнэбулган","Хүрээлэн байгаа орчны эсрэг","1",""
"Эрдэнэбулган","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","","1"
"Бусад","Улсын дүн","","0"
"Бусад","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","","0"
"Бусад","Өмчлөх эрхийн эсрэг","","0"
"Төвийн бүс","Улсын дүн","3,764","3,865"
"Төвийн бүс","Үндэсний аюулгүй байдлын эсрэг","30","3"
"Төвийн бүс","Хүний амьд явах эрхийн эсрэг","125","110"
"Төвийн бүс","Хүнийг  санаатай алах","32","32"
"Төвийн бүс","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","76","62"
"Төвийн бүс","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","1,206","1,127"
"Төвийн бүс","Өмчлөх эрхийн эсрэг","1,606","1,738"
"Төвийн бүс","Хулгайлах","874","781"
"Төвийн бүс","Мал хулгайлах","231","380"
"Төвийн бүс","Дээрэмдэх","64","52"
"Төвийн бүс","Залилах","242","281"
"Төвийн бүс","Хөрөнгө завших","82","102"
"Төвийн бүс","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","39","43"
"Төвийн бүс","Эрүүл мэндийн эсрэг","3","3"
"Төвийн бүс","Хүрээлэн байгаа орчны эсрэг","138","181"
"Төвийн бүс","ХАБТХАЖ-ын эсрэг гэмт хэрэг","325","318"
"Төвийн бүс","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","102","108"
"Төвийн бүс","Хүний халдашгүй чөлөөтэй ажиллах эрхийн эсрэг гэмт хэрэг","5","13"
"Төвийн бүс","Хүний хувийн улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг","","0"
"Төвийн бүс","Хүүхдийн эсрэг  гэмт хэрэг","","1"
"Төвийн бүс","Эдийн засгийн гэмт хэрэг","46","83"
"Төвийн бүс","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","26","15"
"Төвийн бүс","Авлигын эсрэг","64","68"
"Төвийн бүс","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","45","38"
"Төвийн бүс","Соёлын өвийн эсрэг","","4"
"Төвийн бүс","Цахим мэдээллийн аюулгүй байдлын эсрэг","","4"
"Төвийн бүс","Цэргийн албаны эсрэг гэмт хэрэг","4","8"
"Төв","Улсын дүн","779","865"
"Төв","Үндэсний аюулгүй байдлын эсрэг","1","0"
"Төв","Хүний амьд явах эрхийн эсрэг","52","43"
"Төв","Хүнийг  санаатай алах","5","8"
"Төв","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","45","32"
"Төв","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","203","210"
"Төв","Өмчлөх эрхийн эсрэг","364","408"
"Төв","Хулгайлах","199","158"
"Төв","Мал хулгайлах","114","199"
"Төв","Дээрэмдэх","2","1"
"Төв","Залилах","24","17"
"Төв","Хөрөнгө завших","11","15"
"Төв","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","7","15"
"Төв","Эрүүл мэндийн эсрэг","0",""
"Төв","Хүрээлэн байгаа орчны эсрэг","21","26"
"Төв","ХАБТХАЖ-ын эсрэг гэмт хэрэг","85","117"
"Төв","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","16","8"
"Төв","Хүний халдашгүй чөлөөтэй ажиллах эрхийн эсрэг гэмт хэрэг","1","1"
"Төв","Эдийн засгийн гэмт хэрэг","1","7"
"Төв","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","8","6"
"Төв","Авлигын эсрэг","12","15"
"Төв","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","7","5"
"Төв","Цахим мэдээллийн аюулгүй байдлын эсрэг","","1"
"Төв","Цэргийн албаны эсрэг гэмт хэрэг","1","3"
"Зуунмод","Улсын дүн","129","155"
"Зуунмод","Үндэсний аюулгүй байдлын эсрэг","1",""
"Зуунмод","Хүний амьд явах эрхийн эсрэг","4","6"
"Зуунмод","Хүнийг  санаатай алах","","0"
"Зуунмод","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","4","5"
"Зуунмод","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","47","69"
"Зуунмод","Өмчлөх эрхийн эсрэг","53","65"
"Зуунмод","Хулгайлах","36","45"
"Зуунмод","Мал хулгайлах","2","1"
"Зуунмод","Дээрэмдэх","1",""
"Зуунмод","Залилах","14","8"
"Зуунмод","Хөрөнгө завших","","2"
"Зуунмод","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","","1"
"Зуунмод","ХАБТХАЖ-ын эсрэг гэмт хэрэг","4","3"
"Зуунмод","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","5","1"
"Зуунмод","Эдийн засгийн гэмт хэрэг","","2"
"Зуунмод","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","7","5"
"Зуунмод","Авлигын эсрэг","7","2"
"Зуунмод","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","1",""
"Зуунмод","Цахим мэдээллийн аюулгүй байдлын эсрэг","","1"
"Алтанбулаг","Улсын дүн","21","27"
"Алтанбулаг","Хүний амьд явах эрхийн эсрэг","","1"
"Алтанбулаг","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","1"
"Алтанбулаг","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","8","6"
"Алтанбулаг","Өмчлөх эрхийн эсрэг","12","17"
"Алтанбулаг","Хулгайлах","4","7"
"Алтанбулаг","Мал хулгайлах","6","10"
"Алтанбулаг","Хөрөнгө завших","1",""
"Алтанбулаг","Хүрээлэн байгаа орчны эсрэг","1",""
"Алтанбулаг","Цэргийн албаны эсрэг гэмт хэрэг","","3"
"Аргалант","Улсын дүн","37","33"
"Аргалант","Хүний амьд явах эрхийн эсрэг","3","1"
"Аргалант","Хүнийг  санаатай алах","","1"
"Аргалант","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","3","0"
"Аргалант","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","3","2"
"Аргалант","Өмчлөх эрхийн эсрэг","15","21"
"Аргалант","Хулгайлах","6","1"
"Аргалант","Мал хулгайлах","8","18"
"Аргалант","Залилах","","1"
"Аргалант","Хөрөнгө завших","","1"
"Аргалант","Хүрээлэн байгаа орчны эсрэг","1",""
"Аргалант","ХАБТХАЖ-ын эсрэг гэмт хэрэг","14","9"
"Аргалант","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","1",""
"Архуст","Улсын дүн","6","9"
"Архуст","Хүний амьд явах эрхийн эсрэг","1","1"
"Архуст","Хүнийг  санаатай алах","","0"
"Архуст","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","1","1"
"Архуст","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","","2"
"Архуст","Өмчлөх эрхийн эсрэг","4","6"
"Архуст","Хулгайлах","3","2"
"Архуст","Мал хулгайлах","","3"
"Архуст","Хөрөнгө завших","1",""
"Архуст","ХАБТХАЖ-ын эсрэг гэмт хэрэг","1",""
"Батсүмбэр","Улсын дүн","39","44"
"Батсүмбэр","Хүний амьд явах эрхийн эсрэг","6","5"
"Батсүмбэр","Хүнийг  санаатай алах","1","2"
"Батсүмбэр","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","5","3"
"Батсүмбэр","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","14","16"
"Батсүмбэр","Өмчлөх эрхийн эсрэг","10","11"
"Батсүмбэр","Хулгайлах","2","6"
"Батсүмбэр","Мал хулгайлах","5","5"
"Батсүмбэр","Залилах","1",""
"Батсүмбэр","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","1","7"
"Батсүмбэр","Хүрээлэн байгаа орчны эсрэг","1","1"
"Батсүмбэр","ХАБТХАЖ-ын эсрэг гэмт хэрэг","2","3"
"Батсүмбэр","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","2",""
"Батсүмбэр","Хүний халдашгүй чөлөөтэй ажиллах эрхийн эсрэг гэмт хэрэг","1",""
"Батсүмбэр","Авлигын эсрэг","2",""
"Батсүмбэр","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","","1"
"Баян","Улсын дүн","33","32"
"Баян","Хүний амьд явах эрхийн эсрэг","4","1"
"Баян","Хүнийг  санаатай алах","","1"
"Баян","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","3","0"
"Баян","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","2","5"
"Баян","Өмчлөх эрхийн эсрэг","20","15"
"Баян","Хулгайлах","11","10"
"Баян","Мал хулгайлах","7","5"
"Баян","Хөрөнгө завших","1",""
"Баян","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","1",""
"Баян","ХАБТХАЖ-ын эсрэг гэмт хэрэг","6","10"
"Баян","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","","1"
"Баяндэлгэр","Улсын дүн","24","15"
"Баяндэлгэр","Хүний амьд явах эрхийн эсрэг","1","1"
"Баяндэлгэр","Хүнийг  санаатай алах","","0"
"Баяндэлгэр","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","1","1"
"Баяндэлгэр","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","3","0"
"Баяндэлгэр","Өмчлөх эрхийн эсрэг","19","8"
"Баяндэлгэр","Хулгайлах","5",""
"Баяндэлгэр","Мал хулгайлах","13","8"
"Баяндэлгэр","ХАБТХАЖ-ын эсрэг гэмт хэрэг","","5"
"Баяндэлгэр","Хүний халдашгүй чөлөөтэй ажиллах эрхийн эсрэг гэмт хэрэг","","1"
"Баяндэлгэр","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","1",""
"Баянжаргалан","Улсын дүн","10","10"
"Баянжаргалан","Хүний амьд явах эрхийн эсрэг","","0"
"Баянжаргалан","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","0"
"Баянжаргалан","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","1","3"
"Баянжаргалан","Өмчлөх эрхийн эсрэг","9","6"
"Баянжаргалан","Хулгайлах","7",""
"Баянжаргалан","Мал хулгайлах","1","5"
"Баянжаргалан","Хөрөнгө завших","1","1"
"Баянжаргалан","Хүрээлэн байгаа орчны эсрэг","","1"
"Баян-Өнжүүл","Улсын дүн","8","32"
"Баян-Өнжүүл","Хүний амьд явах эрхийн эсрэг","","3"
"Баян-Өнжүүл","Хүнийг  санаатай алах","","1"
"Баян-Өнжүүл","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","2"
"Баян-Өнжүүл","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","7","5"
"Баян-Өнжүүл","Өмчлөх эрхийн эсрэг","1","18"
"Баян-Өнжүүл","Хулгайлах","1","8"
"Баян-Өнжүүл","Мал хулгайлах","","9"
"Баян-Өнжүүл","Хүрээлэн байгаа орчны эсрэг","","2"
"Баян-Өнжүүл","ХАБТХАЖ-ын эсрэг гэмт хэрэг","","1"
"Баян-Өнжүүл","Эдийн засгийн гэмт хэрэг","","2"
"Баян-Өнжүүл","Авлигын эсрэг","","1"
"Баянхангай","Улсын дүн","21","14"
"Баянхангай","Хүний амьд явах эрхийн эсрэг","","0"
"Баянхангай","Хүнийг  санаатай алах","","0"
"Баянхангай","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","0"
"Баянхангай","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","4","1"
"Баянхангай","Өмчлөх эрхийн эсрэг","11","6"
"Баянхангай","Хулгайлах","4","1"
"Баянхангай","Мал хулгайлах","6","4"
"Баянхангай","Хөрөнгө завших","1",""
"Баянхангай","Хүрээлэн байгаа орчны эсрэг","1",""
"Баянхангай","ХАБТХАЖ-ын эсрэг гэмт хэрэг","4","6"
"Баянхангай","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","","1"
"Баянхангай","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","1",""
"Баянцагаан","Улсын дүн","12","28"
"Баянцагаан","Хүний амьд явах эрхийн эсрэг","","1"
"Баянцагаан","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","1"
"Баянцагаан","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","3","5"
"Баянцагаан","Өмчлөх эрхийн эсрэг","4","17"
"Баянцагаан","Хулгайлах","4","4"
"Баянцагаан","Мал хулгайлах","","13"
"Баянцагаан","ХАБТХАЖ-ын эсрэг гэмт хэрэг","3","3"
"Баянцагаан","Эдийн засгийн гэмт хэрэг","1","2"
"Баянцагаан","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","1",""
"Баянцогт","Улсын дүн","15","21"
"Баянцогт","Хүний амьд явах эрхийн эсрэг","1","0"
"Баянцогт","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","1","0"
"Баянцогт","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","","1"
"Баянцогт","Өмчлөх эрхийн эсрэг","12","19"
"Баянцогт","Хулгайлах","5","4"
"Баянцогт","Мал хулгайлах","6","15"
"Баянцогт","Хөрөнгө завших","1",""
"Баянцогт","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","1",""
"Баянцогт","ХАБТХАЖ-ын эсрэг гэмт хэрэг","1",""
"Баянцогт","Эдийн засгийн гэмт хэрэг","","1"
"Баянчандмань","Улсын дүн","46","44"
"Баянчандмань","Хүний амьд явах эрхийн эсрэг","4","6"
"Баянчандмань","Хүнийг  санаатай алах","","1"
"Баянчандмань","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","4","4"
"Баянчандмань","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","10","9"
"Баянчандмань","Өмчлөх эрхийн эсрэг","19","14"
"Баянчандмань","Хулгайлах","15","6"
"Баянчандмань","Мал хулгайлах","1","7"
"Баянчандмань","Залилах","2","1"
"Баянчандмань","Хөрөнгө завших","1",""
"Баянчандмань","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","","2"
"Баянчандмань","Хүрээлэн байгаа орчны эсрэг","1","1"
"Баянчандмань","ХАБТХАЖ-ын эсрэг гэмт хэрэг","8","8"
"Баянчандмань","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","3","2"
"Баянчандмань","Авлигын эсрэг","1",""
"Баянчандмань","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","","2"
"Борнуур","Улсын дүн","40","43"
"Борнуур","Хүний амьд явах эрхийн эсрэг","4","1"
"Борнуур","Хүнийг  санаатай алах","2","0"
"Борнуур","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","2","1"
"Борнуур","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","10","9"
"Борнуур","Өмчлөх эрхийн эсрэг","11","15"
"Борнуур","Хулгайлах","7","5"
"Борнуур","Мал хулгайлах","4","9"
"Борнуур","Хөрөнгө завших","","1"
"Борнуур","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","","3"
"Борнуур","Хүрээлэн байгаа орчны эсрэг","5","2"
"Борнуур","ХАБТХАЖ-ын эсрэг гэмт хэрэг","9","12"
"Борнуур","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","1",""
"Борнуур","Авлигын эсрэг","","1"
"Бүрэн","Улсын дүн","6","10"
"Бүрэн","Хүний амьд явах эрхийн эсрэг","","0"
"Бүрэн","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","0"
"Бүрэн","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","5","0"
"Бүрэн","Өмчлөх эрхийн эсрэг","","9"
"Бүрэн","Хулгайлах","","7"
"Бүрэн","Мал хулгайлах","","1"
"Бүрэн","Хөрөнгө завших","","1"
"Бүрэн","ХАБТХАЖ-ын эсрэг гэмт хэрэг","1","1"
"Дэлгэрхаан","Улсын дүн","13","10"
"Дэлгэрхаан","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","4","4"
"Дэлгэрхаан","Өмчлөх эрхийн эсрэг","7","4"
"Дэлгэрхаан","Хулгайлах","4","2"
"Дэлгэрхаан","Мал хулгайлах","3","1"
"Дэлгэрхаан","ХАБТХАЖ-ын эсрэг гэмт хэрэг","2","1"
"Дэлгэрхаан","Авлигын эсрэг","","1"
"Жаргалант","Улсын дүн","28","31"
"Жаргалант","Хүний амьд явах эрхийн эсрэг","2","1"
"Жаргалант","Хүнийг  санаатай алах","1","1"
"Жаргалант","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","1",""
"Жаргалант","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","6","4"
"Жаргалант","Өмчлөх эрхийн эсрэг","10","12"
"Жаргалант","Хулгайлах","5","1"
"Жаргалант","Мал хулгайлах","4","8"
"Жаргалант","Залилах","1","1"
"Жаргалант","Хөрөнгө завших","","1"
"Жаргалант","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","4","2"
"Жаргалант","Хүрээлэн байгаа орчны эсрэг","3","1"
"Жаргалант","ХАБТХАЖ-ын эсрэг гэмт хэрэг","3","10"
"Жаргалант","Авлигын эсрэг","","1"
"Заамар","Улсын дүн","74","45"
"Заамар","Хүний амьд явах эрхийн эсрэг","7","1"
"Заамар","Хүнийг  санаатай алах","1","0"
"Заамар","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","5","1"
"Заамар","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","22","14"
"Заамар","Өмчлөх эрхийн эсрэг","30","13"
"Заамар","Хулгайлах","23","9"
"Заамар","Мал хулгайлах","2","3"
"Заамар","Залилах","1","1"
"Заамар","Хөрөнгө завших","1",""
"Заамар","Хүрээлэн байгаа орчны эсрэг","8","11"
"Заамар","ХАБТХАЖ-ын эсрэг гэмт хэрэг","5","1"
"Заамар","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","","1"
"Заамар","Авлигын эсрэг","1","4"
"Заамар","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","1",""
"Лүн","Улсын дүн","17","24"
"Лүн","Хүний амьд явах эрхийн эсрэг","","0"
"Лүн","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","0"
"Лүн","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","4","10"
"Лүн","Өмчлөх эрхийн эсрэг","10","9"
"Лүн","Хулгайлах","7","5"
"Лүн","Мал хулгайлах","3","4"
"Лүн","ХАБТХАЖ-ын эсрэг гэмт хэрэг","2","5"
"Лүн","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","1",""
"Мөнгөнморьт","Улсын дүн","8","10"
"Мөнгөнморьт","Хүний амьд явах эрхийн эсрэг","2","1"
"Мөнгөнморьт","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","2","1"
"Мөнгөнморьт","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","2","1"
"Мөнгөнморьт","Өмчлөх эрхийн эсрэг","3","5"
"Мөнгөнморьт","Хулгайлах","1","2"
"Мөнгөнморьт","Мал хулгайлах","1","1"
"Мөнгөнморьт","Залилах","1","1"
"Мөнгөнморьт","Хүрээлэн байгаа орчны эсрэг","","1"
"Мөнгөнморьт","ХАБТХАЖ-ын эсрэг гэмт хэрэг","","2"
"Мөнгөнморьт","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","1",""
"Өндөрширээт","Улсын дүн","13","23"
"Өндөрширээт","Хүний амьд явах эрхийн эсрэг","","2"
"Өндөрширээт","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","1"
"Өндөрширээт","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","5","7"
"Өндөрширээт","Өмчлөх эрхийн эсрэг","5","9"
"Өндөрширээт","Хулгайлах","1","4"
"Өндөрширээт","Мал хулгайлах","3","5"
"Өндөрширээт","ХАБТХАЖ-ын эсрэг гэмт хэрэг","3","3"
"Өндөрширээт","Авлигын эсрэг","","2"
"Сүмбэр","Улсын дүн","14","9"
"Сүмбэр","Хүний амьд явах эрхийн эсрэг","","2"
"Сүмбэр","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","2"
"Сүмбэр","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","2","0"
"Сүмбэр","Өмчлөх эрхийн эсрэг","11","5"
"Сүмбэр","Хулгайлах","11","2"
"Сүмбэр","Залилах","","1"
"Сүмбэр","Хөрөнгө завших","","1"
"Сүмбэр","Хүрээлэн байгаа орчны эсрэг","","1"
"Сүмбэр","ХАБТХАЖ-ын эсрэг гэмт хэрэг","","1"
"Сүмбэр","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","1",""
"Сэргэлэн","Улсын дүн","64","89"
"Сэргэлэн","Хүний амьд явах эрхийн эсрэг","6","1"
"Сэргэлэн","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","6","1"
"Сэргэлэн","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","12","14"
"Сэргэлэн","Өмчлөх эрхийн эсрэг","36","50"
"Сэргэлэн","Хулгайлах","13","11"
"Сэргэлэн","Мал хулгайлах","18","35"
"Сэргэлэн","Дээрэмдэх","1",""
"Сэргэлэн","Залилах","2",""
"Сэргэлэн","Хөрөнгө завших","","3"
"Сэргэлэн","Хүрээлэн байгаа орчны эсрэг","","1"
"Сэргэлэн","ХАБТХАЖ-ын эсрэг гэмт хэрэг","8","22"
"Сэргэлэн","Авлигын эсрэг","1","1"
"Сэргэлэн","Цэргийн албаны эсрэг гэмт хэрэг","1",""
"Угтаал","Улсын дүн","10","11"
"Угтаал","Хүний амьд явах эрхийн эсрэг","1","2"
"Угтаал","Хүнийг  санаатай алах","","1"
"Угтаал","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","1","1"
"Угтаал","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","4","1"
"Угтаал","Өмчлөх эрхийн эсрэг","4","7"
"Угтаал","Хулгайлах","1","2"
"Угтаал","Мал хулгайлах","2","3"
"Угтаал","Хөрөнгө завших","1","2"
"Угтаал","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","1","1"
"Цээл","Улсын дүн","8","9"
"Цээл","Хүний амьд явах эрхийн эсрэг","","0"
"Цээл","Хүнийг  санаатай алах","","0"
"Цээл","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","0"
"Цээл","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","1","2"
"Цээл","Өмчлөх эрхийн эсрэг","6","5"
"Цээл","Хулгайлах","2","2"
"Цээл","Мал хулгайлах","4","3"
"Цээл","Хүрээлэн байгаа орчны эсрэг","","1"
"Цээл","ХАБТХАЖ-ын эсрэг гэмт хэрэг","1",""
"Цээл","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","","1"
"Эрдэнэ","Улсын дүн","47","64"
"Эрдэнэ","Хүний амьд явах эрхийн эсрэг","4","4"
"Эрдэнэ","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","4","4"
"Эрдэнэ","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","9","12"
"Эрдэнэ","Өмчлөх эрхийн эсрэг","25","34"
"Эрдэнэ","Хулгайлах","13","10"
"Эрдэнэ","Мал хулгайлах","6","19"
"Эрдэнэ","Дээрэмдэх","","1"
"Эрдэнэ","Залилах","2","2"
"Эрдэнэ","Хөрөнгө завших","2","1"
"Эрдэнэ","Хүрээлэн байгаа орчны эсрэг","","3"
"Эрдэнэ","ХАБТХАЖ-ын эсрэг гэмт хэрэг","6","8"
"Эрдэнэ","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","3","1"
"Эрдэнэ","Авлигын эсрэг","","2"
"Эрдэнэсант","Улсын дүн","36","23"
"Эрдэнэсант","Хүний амьд явах эрхийн эсрэг","2","2"
"Эрдэнэсант","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","2","2"
"Эрдэнэсант","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","15","8"
"Эрдэнэсант","Өмчлөх эрхийн эсрэг","17","8"
"Эрдэнэсант","Хулгайлах","8","2"
"Эрдэнэсант","Мал хулгайлах","9","4"
"Эрдэнэсант","Залилах","","1"
"Эрдэнэсант","Хөрөнгө завших","","1"
"Эрдэнэсант","ХАБТХАЖ-ын эсрэг гэмт хэрэг","2","3"
"Эрдэнэсант","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","","2"
"Бусад","Улсын дүн","","0"
"Бусад","Хүний амьд явах эрхийн эсрэг","","0"
"Бусад","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","0"
"Бусад","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","","0"
"Бусад","Өмчлөх эрхийн эсрэг","","0"
"Говьсүмбэр","Улсын дүн","176","154"
"Говьсүмбэр","Хүний амьд явах эрхийн эсрэг","3","4"
"Говьсүмбэр","Хүнийг  санаатай алах","2","1"
"Говьсүмбэр","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","1","2"
"Говьсүмбэр","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","91","62"
"Говьсүмбэр","Өмчлөх эрхийн эсрэг","52","61"
"Говьсүмбэр","Хулгайлах","34","27"
"Говьсүмбэр","Мал хулгайлах","7","12"
"Говьсүмбэр","Дээрэмдэх","0","1"
"Говьсүмбэр","Залилах","3","15"
