"Засаг захиргааны нэгж","Гэмт хэргийн ангилал","2018","2019"
"Баянхайрхан","Өмчлөх эрхийн эсрэг","1",""
"Баянхайрхан","Мал хулгайлах","1",""
"Баянхайрхан","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","1",""
"Дөрвөлжин","Улсын дүн","7","15"
"Дөрвөлжин","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","2","3"
"Дөрвөлжин","Өмчлөх эрхийн эсрэг","3","12"
"Дөрвөлжин","Хулгайлах","3","9"
"Дөрвөлжин","Мал хулгайлах","","3"
"Дөрвөлжин","Хүрээлэн байгаа орчны эсрэг","1",""
"Дөрвөлжин","Эдийн засгийн гэмт хэрэг","1",""
"Завханмандал","Улсын дүн","10","6"
"Завханмандал","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","2",""
"Завханмандал","Өмчлөх эрхийн эсрэг","5","5"
"Завханмандал","Хулгайлах","3",""
"Завханмандал","Мал хулгайлах","2","4"
"Завханмандал","Хөрөнгө завших","","1"
"Завханмандал","Хүрээлэн байгаа орчны эсрэг","1",""
"Завханмандал","Авлигын эсрэг","2","1"
"Идэр","Улсын дүн","12","9"
"Идэр","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","5","6"
"Идэр","Өмчлөх эрхийн эсрэг","5","1"
"Идэр","Хулгайлах","1",""
"Идэр","Мал хулгайлах","3","1"
"Идэр","Хүрээлэн байгаа орчны эсрэг","","1"
"Идэр","ХАБТХАЖ-ын эсрэг гэмт хэрэг","1","1"
"Идэр","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","1",""
"Их-Уул","Улсын дүн","16","14"
"Их-Уул","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","2","4"
"Их-Уул","Өмчлөх эрхийн эсрэг","6","4"
"Их-Уул","Хулгайлах","4","2"
"Их-Уул","Мал хулгайлах","1","2"
"Их-Уул","Залилах","1",""
"Их-Уул","Хүрээлэн байгаа орчны эсрэг","3","5"
"Их-Уул","ХАБТХАЖ-ын эсрэг гэмт хэрэг","4","1"
"Их-Уул","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","1",""
"Нөмрөг","Улсын дүн","1","1"
"Нөмрөг","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","1",""
"Нөмрөг","Авлигын эсрэг","","1"
"Отгон","Улсын дүн","9","12"
"Отгон","Хүний амьд явах эрхийн эсрэг","1",""
"Отгон","Хүнийг  санаатай алах","1",""
"Отгон","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","3","3"
"Отгон","Өмчлөх эрхийн эсрэг","4","8"
"Отгон","Хулгайлах","","1"
"Отгон","Мал хулгайлах","4","7"
"Отгон","Авлигын эсрэг","1",""
"Отгон","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","","1"
"Сантмаргац","Улсын дүн","10","7"
"Сантмаргац","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","3","3"
"Сантмаргац","Өмчлөх эрхийн эсрэг","7","4"
"Сантмаргац","Хулгайлах","1",""
"Сантмаргац","Мал хулгайлах","4","4"
"Сантмаргац","Хөрөнгө завших","1",""
"Сонгино","Улсын дүн","7","6"
"Сонгино","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","3","4"
"Сонгино","Өмчлөх эрхийн эсрэг","2","1"
"Сонгино","Хулгайлах","1","1"
"Сонгино","Мал хулгайлах","1",""
"Сонгино","ХАБТХАЖ-ын эсрэг гэмт хэрэг","1",""
"Сонгино","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","1","1"
"Тосонцэнгэл","Улсын дүн","33","39"
"Тосонцэнгэл","Хүний амьд явах эрхийн эсрэг","","2"
"Тосонцэнгэл","Хүнийг  санаатай алах","","1"
"Тосонцэнгэл","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","1"
"Тосонцэнгэл","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","10","10"
"Тосонцэнгэл","Өмчлөх эрхийн эсрэг","14","19"
"Тосонцэнгэл","Хулгайлах","10","9"
"Тосонцэнгэл","Мал хулгайлах","2","3"
"Тосонцэнгэл","Залилах","","5"
"Тосонцэнгэл","Хөрөнгө завших","1","2"
"Тосонцэнгэл","Олон нийтийн   аюулгүй байдал, ашиг сонирхлын  эсрэг","1",""
"Тосонцэнгэл","Хүрээлэн байгаа орчны эсрэг","2","2"
