"Статистик үзүүлэлт","Засаг захиргааны нэгж","2010","2011","2012","2013","2014","2015","2016","2017"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Баянзүрх","","1","","1","","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Сонгинохайрхан","","1","","","","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Сүхбаатар","","","2","","","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Хан-Уул","66","68","111","","15","","4","7"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Чингэлтэй","","","1","","","","","2"
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Нисэх","","","","35","","","",""
"Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг","Бусад","8","1","1","","","","11","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Улсын дүн","6,813","6,462","7,155","8,156","8,697","8,468","8,691","9,533"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баруун бүс","539","523","624","643","630","648","604","607"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Завхан","136","140","149","122","110","77","99","74"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Улиастай","60","46","53","44","45","41","47","31"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Алдархаан","9","6","2","5","5","2","4","4"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Асгат","1","","8","7","3","3","2","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баянтэс","3","","1","","3","1","2",""
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баянхайрхан","2","","1","2","","2","","3"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Дөрвөлжин","4","2","1","5","1","2","4","3"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Завханмандал","1","1","","","1","2","1",""
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Идэр","8","12","7","4","1","3","2","4"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Их-Уул","1","7","9","8","6","1","3","2"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Нөмрөг","3","3","2","2","3","1","2","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Отгон","1","12","5","1","2","","1","2"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Сантмаргац","1","6","12","7","4","2","2",""
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Сонгино","5","2","3","1","","2","4","5"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Булнай","9","16","21","10","14","8","20","10"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Түдэвтэй","3","1","","4","2","","","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Тэлмэн","2","1","3","5","","1","","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Тэс","4","6","2","6","6","1","",""
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Ургамал","2","1","","","","","1","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Цагаанхайрхан","","1","5","1","2","","","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Цагаанчулуут","1","2","1","4","2","3","",""
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Цэцэн-Уул","","1","","1","4","","2","2"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Шилүүстэй","12","8","10","2","","","1","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Эрдэнэхайрхан","1","4","3","3","4","","",""
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Яруу","3","2","","","2","2","1","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Говь-Алтай","32","24","46","59","78","77","72","73"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Есөнбулаг","5","7","31","28","43","43","47","43"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Алтай","2","3","","4","2","1","1","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баян-Уул","1","1","2","1","5","1","2","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Бигэр","2","1","","1","4","","4",""
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Бугат","1","1","","1","1","","","4"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Дарви","3","","","","","1","",""
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Дэлгэр","1","2","","2","6","4","2","2"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Жаргалан","1","1","2","5","","3","1","2"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Тайшир","1","","2","1","2","1","","3"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Тонхил","2","1","","1","2","2","2","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Төгрөг","2","1","","2","1","5","","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Халиун","2","","","","","1","3","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Хөхморьт","1","","","1","3","3","","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Цогт","2","1","2","4","3","","3","5"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Цээл","1","4","4","5","1","3","1","2"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Чандмань","2","1","1","1","1","3","2","2"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Шарга","1","","","2","1","2","4","4"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Эрдэнэ","2","","2","","3","4","",""
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баян-Өлгий","185","166","244","224","159","128","155","172"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Өлгий","95","68","133","122","70","62","53","85"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Алтай","5","7","4","5","13","7","7","7"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Алтанцөгц","2","3","2","4","8","6","7","2"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баяннуур","12","13","15","11","10","4","16","6"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Бугат","6","4","9","8","8","3","8","5"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Булган","4","4","4","6","3","2","3","2"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Буянт","6","10","5","8","4","9","9","10"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Дэлүүн","7","6","8","6","2","5","6","9"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Ногооннуур","13","13","14","11","12","5","10","8"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Сагсай","9","1","9","8","2","3","5","10"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Толбо","5","5","13","9","4","","3","4"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Улаанхус","10","11","15","13","9","5","17","6"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Цэнгэл","11","21","13","13","14","17","11","18"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Ховд","85","100","89","123","139","210","135","134"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Жаргалант","35","43","49","54","70","109","77","47"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Алтай","6","1","","4","2","8","3","7"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Булган","12","24","15","15","17","24","16","5"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Буянт","1","2","10","8","9","11","3","3"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Дарви","3","3","","3","","3","4","8"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Дөргөн","1","","","1","5","4","",""
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Дуут","3","2","1","1","2","3","1","35"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Зэрэг","3","4","","6","3","5","1","5"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Манхан","3","4","2","4","8","12","3","1"
