"Статистик үзүүлэлт","Засаг захиргааны нэгж","2010","2011","2012","2013","2014","2015","2016","2017"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Бугат","","","","","","","1",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Дэлүүн","","","","","","","1",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Ногооннуур","","","1","2","1","","2","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Сагсай","1","","","","","","1",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Толбо","","1","","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Улаанхус","","","","1","1","1","2",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Цэнгэл","1","","1","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Ховд","9","2","4","7","2","9","8","8"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Жаргалант","5","1","2","4","1","8","5","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Алтай","2","","","","","","1",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Булган","","","1","","","","2","2"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Дарви","","","","1","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Дөргөн","1","","","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Дуут","","","","","1","","","4"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Зэрэг","1","","","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Манхан","","","","","","","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Мөнххайрхан","","","","1","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Мөст","","1","","1","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Мянгад","","","1","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Цэцэг","","","","","","1","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Увс","5","4","4","5","8","5","1","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Улаангом","4","3","2","4","5","1","1","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Баруунтуруун","","","1","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Давст","","","","1","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Завхан","","","1","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Малчин","","","","","","1","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Наранбулаг","","","","","","1","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Өлгий","","","","","1","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Тариалан","","","","","2","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Тэс","1","1","","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Хяргас","","","","","","2","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Хангайн бүс","26","23","25","36","29","25","24","47"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Орхон","6","8","8","7","4","9","11","18"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Баян-Өндөр","6","8","8","7","4","9","11","16"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Жаргалант","","","","","","","","2"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Өвөрхангай","1","4","2","5","2","1","2","3"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Арвайхээр","","2","","1","1","1","2","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Бат-Өлзий","","","","","","","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Есөн зүйл","","","","","1","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Зүүнбаян-Улаан","","1","1","1","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Өлзийт","","","1","1","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Сант","","","","1","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Уянга","","","","1","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Хайрхандулаан","","1","","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Хархорин","1","","","","","","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Булган","7","3","2","2","6","1","2","5"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Булган","3","2","1","1","5","","","2"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Баян-Агт","1","","","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Баяннуур","","","1","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Бугат","","","","","","","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Бүрэгхангай","1","","","","","","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Гурванбулаг","","","","","","1","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Дашинчилэн","","","","","","","2",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Орхон","","1","","","1","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Рашаант","1","","","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Сэлэнгэ","","","","","","","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Хангал","1","","","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Хутаг-Өндөр","","","","1","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Баянхонгор","5","3","3","9","8","6","1","7"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Баянхонгор","3","2","1","7","7","4","1","2"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Баянговь","","","","","","","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Баян-Овоо","1","","","1","","1","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Бөмбөгөр","","","","","","","","2"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Жинст","1","","","1","1","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Заг","","","1","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Өлзийт","","1","","","","1","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Шинэжинст","","","","","","","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Эрдэнэцогт","","","1","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Архангай","2","3","2","7","3","1","6","7"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Эрдэнэбулган","2","","","2","3","1","3","4"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Батцэнгэл","","","","2","","","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Жаргалант","","","","1","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Ихтамир","","","","","","","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Өгийнуур","","1","","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Өлзийт","","","1","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Тариат","","","","1","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Төвшрүүлэх","","","","","","","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Хайрхан","","1","","1","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Хангай","","","1","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Цахир","","1","","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Цэнхэр","","","","","","","2",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Эрдэнэмандал","","","","","","","1",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Хөвсгөл","5","2","8","6","6","7","2","7"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Мөрөн","3","2","6","5","4","4","1","4"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Алаг-Эрдэнэ","","","","1","","","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Баянзүрх","","","","","","1","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Тосонцэнгэл","1","","","","1","1","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Төмөрбулаг","","","","","","","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Ханх","","","1","","","1","1",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Цагааннуур","","","1","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Цагаан-Уул","","","","","1","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Цагаан-Үүр","1","","","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Төвийн бүс","83","42","54","39","55","69","56","61"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Төв","28","7","11","10","5","15","0","5"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Зуунмод","22","1","2","1","4","3","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Алтанбулаг","2","","1","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Аргалант","","1","1","","","2","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Архуст","","","1","1","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Батсүмбэр","1","","","2","","","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Баян","","","","","","2","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Баяндэлгэр","","","","1","","1","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Баян-Өнжүүл","","1","","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Баянцогт","1","","","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Баянчандмань","1","1","1","","","2","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Борнуур","","","1","","","1","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Дэлгэрхаан","","","","","","1","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Заамар","","","1","2","","1","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Лүн","","1","","","","1","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Мөнгөнморьт","","","1","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Өндөрширээт","","","","1","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Сүмбэр","","","1","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Сэргэлэн","","","","","1","","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Цээл","1","","","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Эрдэнэ","","2","1","2","","1","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Говьсүмбэр","3","2","0","1","2","3","5","5"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Сүмбэр","2","2","","1","1","2","4","4"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Баянтал","1","","","","","","1","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Шивээговь","","","","","1","1","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Сэлэнгэ","15","8","14","7","11","14","18","8"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Сүхбаатар","3","3","5","2","2","1","3","5"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Алтанбулаг","","","","2","","2","2",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Баянгол","","","","","1","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Ерөө","1","","1","1","1","1","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Жавхлант","","","","","1","","2",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Зүүнбүрэн","1","","1","","","2","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Мандал","3","2","2","1","3","","7",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Орхон","","1","","","","","1",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Орхонтуул","1","","1","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Сайхан","5","","2","","2","1","1",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Сант","","1","","1","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Түшиг","","1","","","","","2",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Хүдэр","","","","","","1","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Цагааннуур","1","","2","","1","5","","2"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Шаамар","","","","","","1","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Дорноговь","13","8","7","9","7","5","16","15"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Сайншанд","12","3","5","4","3","3","9","6"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Айраг","","1","1","","2","2","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Замын-Үүд","","4","1","3","2","","6","6"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Иххэт","","","","1","","","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Мандах","1","","","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Сайхандулаан","","","","","","","1",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Хатанбулаг","","","","1","","","","2"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Дархан-Уул","15","10","11","7","17","18","8","8"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Дархан","15","10","10","5","15","16","7","8"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Орхон","","","","","","1","1",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Хонгор","","","","1","1","1","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Шарын гол","","","1","1","1","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Өмнөговь","8","6","9","5","12","11","8","18"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Даланзадгад","1","1","","","6","1","4",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Баяндалай","","","","","1","1","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Баян-Овоо","","","","","","","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Булган","","","","","","1","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Гурвантэс","1","3","2","1","","1","1","3"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Мандал-Овоо","1","","1","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Ноён","1","","","","","1","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Сэврэй","","","","","1","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Ханбогд","1","1","1","","1","4","3","4"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Ханхонгор","1","","","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Цогт-Овоо","2","","","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Цогтцэций","","1","5","4","3","2","","10"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Дундговь","1","1","2","0","1","3","1","2"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Сайнцагаан","1","1","1","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Баянжаргалан","","","","","","2","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Говь-Угтаал","","","","","","","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Гурвансайхан","","","","","","","1",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Дэлгэрхангай","","","","","1","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Луус","","","","","","","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Сайхан-Овоо","","","","","","1","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Цагаандэлгэр","","","1","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Зүүн бүс","36","12","16","22","11","15","19","20"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Дорнод","17","6","9","11","3","4","7","6"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Хэрлэн","7","5","8","8","2","3","6","2"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Баяндун","1","","","1","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Баян-Уул","","","","","","","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Булган","1","","","","","1","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Гурванзагал","","","","","","","1",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Дашбалбар","1","","","","","","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Матад","6","1","1","1","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Халхгол","","","","","1","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Хөлөнбуйр","1","","","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Чойбалсан","","","","","","","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Чулуунхороот","","","","1","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Сүхбаатар","3","0","1","4","3","5","3","3"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Баруун-Урт","2","","1","4","1","2","2","2"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Асгат","1","","","","1","3","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Мөнххаан","","","","","1","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Түмэнцогт","","","","","","","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Эрдэнэцагаан","","","","","","","1",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Хэнтий","16","6","6","7","5","6","9","11"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Хэрлэн","7","3","1","2","1","2","7","5"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Батноров","","","","1","","","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Баян-Адарга","1","","","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Баянмөнх","3","","","","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Баян-Овоо","","","","","","1","","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Баянхутаг","","","1","","","","1",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Биндэр","","","","","","","1",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Дархан","","","1","1","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Дэлгэрхаан","","1","","","","","","2"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Мөрөн","","","","","1","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Норовлин","1","","","","","1","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Өмнөдэлгэр","4","2","","1","","","","2"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Цэнхэрмандал","","","","","1","1","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Бор-Өндөр","","","3","2","2","1","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Улаанбаатар","139","103","146","193","180","201","193","221"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Улаанбаатар","139","103","146","193","180","201","193","221"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Багануур","3","1","7","3","5","7","4","1"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Багахангай","","","","2","1","","1",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Баянгол","34","26","36","35","31","46","36","43"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Баянзүрх","23","15","27","39","34","42","38","44"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Налайх","1","4","1","5","","4","5","2"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Сонгинохайрхан","17","6","22","18","22","21","24","29"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Сүхбаатар","19","18","22","42","30","35","37","35"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Хан-Уул","27","14","12","33","39","31","26","36"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Чингэлтэй","15","19","19","16","18","15","22","31"
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Нисэх","","2","1","1","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Төмөр зам","17","4","10","9","","","",""
"Бусдын эд хөрөнгийг завших, үрэгдүүлэх","Бусад","3","2","","1","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Улсын дүн","1,684","1,873","1,749","1,894","426","520","",""
"Аж ахуйн эсрэг гэмт хэрэг","Баруун бүс","118","81","46","44","7","4","",""
"Аж ахуйн эсрэг гэмт хэрэг","Завхан","11","10","12","5","","1","",""
"Аж ахуйн эсрэг гэмт хэрэг","Улиастай","3","4","5","1","","1","",""
"Аж ахуйн эсрэг гэмт хэрэг","Асгат","","","","1","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Баянтэс","","1","","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Баянхайрхан","","1","","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Их-Уул","","","3","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Нөмрөг","1","","","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Отгон","","1","","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Булнай","4","2","2","1","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Түдэвтэй","","","","1","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Тэлмэн","","1","1","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Тэс","","","1","1","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Ургамал","1","","","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Эрдэнэхайрхан","2","","","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Говь-Алтай","21","24","8","18","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Есөнбулаг","9","12","5","8","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Алтай","","1","","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Баян-Уул","1","1","","1","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Бигэр","3","2","","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Бугат","","","1","1","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Дарви","1","","","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Дэлгэр","","","","1","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Тайшир","1","1","","2","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Төгрөг","3","","","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Халиун","1","1","","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Хөхморьт","","1","","1","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Цогт","1","2","","1","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Цээл","","1","","1","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Чандмань","","","","1","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Шарга","1","1","1","1","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Эрдэнэ","","1","1","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Баян-Өлгий","10","3","5","4","3","1","",""
"Аж ахуйн эсрэг гэмт хэрэг","Өлгий","4","2","3","3","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Алтай","2","","","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Баяннуур","1","","","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Буянт","1","","1","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Ногооннуур","","1","1","1","3","1","",""
"Аж ахуйн эсрэг гэмт хэрэг","Сагсай","1","","","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Цэнгэл","1","","","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Ховд","25","9","4","6","2","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Жаргалант","10","4","2","1","1","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Алтай","","","","1","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Булган","2","1","","1","1","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Дөргөн","1","","","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Дуут","1","","","1","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Зэрэг","","","1","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Манхан","1","","","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Мөст","4","1","","1","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Үенч","1","","","1","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Ховд","1","1","","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Цэцэг","2","","1","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Чандмань","1","","","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Эрдэнэбүрэн","1","2","","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Увс","51","35","17","11","2","2","",""
"Аж ахуйн эсрэг гэмт хэрэг","Улаангом","33","26","6","3","1","2","",""
"Аж ахуйн эсрэг гэмт хэрэг","Баруунтуруун","1","1","","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Давст","","1","1","","1","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Зүүнговь","1","","1","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Малчин","1","","","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Наранбулаг","1","","2","2","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Өлгий","1","","","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Өмнөговь","2","","1","1","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Өндөрхангай","2","","","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Сагил","","","1","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Тариалан","2","","1","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Түргэн","4","1","1","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Тэс","2","2","1","4","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Ховд","1","1","","1","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Цагаанхайрхан","","3","2","","","","",""
"Аж ахуйн эсрэг гэмт хэрэг","Хангайн бүс","146","111","106","83","4","7","",""
"Аж ахуйн эсрэг гэмт хэрэг","Орхон","22","28","38","21","","1","",""
"Аж ахуйн эсрэг гэмт хэрэг","Баян-Өндөр","21","28","38","21","","1","",""
